YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2010,1,11,13,16,18,21,22,06
2010,2,05,14,16,22,26,28,27
2010,3,05,14,16,25,45,48,42
2010,4,04,08,16,39,40,45,10
2010,5,09,23,25,29,30,48,01
2010,6,21,26,27,35,38,48,41
2010,7,05,18,19,28,35,45,27
2010,8,02,03,09,24,33,41,40
2010,9,06,07,17,24,41,48,16
2010,10,18,19,26,34,39,46,02
2010,11,08,09,17,31,37,38,02
2010,12,03,09,15,32,43,46,28
2010,13,02,04,06,30,32,34,40
2010,14,01,10,13,14,38,39,41
2010,15,09,20,25,36,42,47,13
2010,16,01,05,13,16,24,41,14
2010,17,04,08,10,13,14,49,07
2010,18,21,24,27,32,35,36,16
2010,19,05,21,26,27,28,29,44
2010,20,01,07,17,20,29,49,19
2010,21,04,05,07,11,28,32,03
2010,22,03,04,11,15,32,45,01
2010,23,08,19,43,44,48,49,46
2010,24,11,20,31,37,44,47,46
2010,25,16,17,18,22,25,36,47
2010,26,01,06,10,21,28,35,46
2010,27,10,11,24,33,34,38,16
2010,28,03,12,26,28,31,46,16
2010,29,09,13,14,17,28,45,20
2010,30,10,14,35,40,43,48,21
2010,31,01,04,14,18,22,39,48
2010,32,04,16,28,37,38,47,30
2010,33,04,19,30,37,39,41,31
2010,34,08,12,29,33,39,45,36
2010,35,07,11,22,27,32,46,17
2010,36,14,16,29,44,45,47,42
2010,37,01,03,08,22,36,44,29
2010,38,02,22,29,31,40,48,20
2010,39,20,21,23,31,42,43,41
2010,40,11,23,35,37,40,43,30
2010,41,11,20,25,35,42,45,08
2010,42,03,05,25,30,33,37,35
2010,43,02,07,20,36,38,41,40
2010,44,31,32,33,37,42,46,17
2010,45,19,21,30,35,36,37,33
2010,46,01,02,24,38,42,49,19
2010,47,06,17,25,27,35,40,32
2010,48,01,16,23,29,39,46,17
2010,49,05,12,16,23,29,39,11
2010,50,03,13,18,21,22,33,08
2010,51,05,07,24,26,41,49,03
2010,52,07,16,26,28,41,44,24
2010,53,19,24,34,40,41,46,15
2010,54,02,31,37,38,39,40,44
2010,55,01,05,08,21,27,34,20
2010,56,15,26,29,34,35,40,09
2010,57,16,22,31,37,39,49,32
2010,58,01,29,32,39,44,47,17
2010,59,04,07,12,20,39,48,14
2010,60,04,10,11,15,22,37,49
2010,61,12,17,18,26,29,33,41
2010,62,14,18,30,40,43,46,27
2010,63,09,22,28,32,33,49,18
2010,64,04,16,25,26,33,42,30
2010,65,07,11,13,24,28,46,26
2010,66,05,16,19,26,42,44,06
2010,67,09,15,30,37,38,40,01
2010,68,07,08,12,21,23,47,10
2010,69,08,26,32,35,36,49,24
2010,70,02,11,19,20,21,40,43
2010,71,05,10,18,21,35,49,11
2010,72,05,11,15,42,45,48,14
2010,73,02,08,12,13,27,35,37
2010,74,02,04,09,20,35,40,44
2010,75,05,23,26,31,34,49,24
2010,76,07,13,15,20,21,41,02
2010,77,08,11,21,38,41,48,49
2010,78,02,13,14,21,45,49,19
2010,79,14,17,21,29,42,46,49
2010,80,04,16,40,43,46,47,27
2010,81,02,22,25,27,35,42,13
2010,82,02,03,05,25,43,48,24
2010,83,02,10,16,18,41,44,31
2010,84,07,12,30,34,40,48,33
2010,85,05,13,26,29,40,47,42
2010,86,06,15,22,25,33,42,24
2010,87,04,17,23,28,43,46,22
2010,88,12,13,38,41,44,49,22
2010,89,12,28,29,33,35,37,22
2010,90,09,17,26,31,35,36,42
2010,91,08,30,42,46,48,49,07
2010,92,03,18,34,41,45,46,37
2010,93,05,08,12,20,30,39,23
2010,94,06,17,29,33,42,48,34
2010,95,06,12,17,34,38,46,43
2010,96,02,05,08,22,25,35,16
2010,97,08,12,30,43,46,48,35
2010,98,18,21,34,37,40,49,28
2010,99,06,09,11,16,25,37,45
2010,100,01,07,09,10,36,44,37
2010,101,01,03,06,07,36,49,42
2010,102,06,16,39,40,46,49,41
2010,103,03,07,11,20,23,48,38
2010,104,17,19,25,34,43,45,47
2010,105,02,03,16,42,43,45,27
2010,106,02,04,19,34,37,41,05
2010,107,10,20,24,35,36,39,12
2010,108,03,04,07,22,30,39,06
2010,109,05,08,31,46,47,49,34
2010,110,12,17,19,26,33,40,25
2010,111,10,13,23,35,36,48,47
2010,112,16,23,30,37,39,43,05
2010,113,07,30,31,42,45,49,46
2010,114,09,18,21,22,26,29,27
2010,115,07,16,17,21,27,36,06
2010,116,05,06,08,16,29,31,12
2010,117,14,15,21,22,32,40,02
2010,118,22,37,41,42,44,45,27
2010,119,09,13,21,24,38,46,27
2010,120,04,07,10,26,42,47,13
2010,121,01,29,30,44,45,49,41
2010,122,02,20,29,38,39,43,37
2010,123,04,09,23,35,46,49,18
2010,124,01,28,33,41,42,45,08
2010,125,03,08,14,20,33,41,32
2010,126,08,09,17,31,36,47,46
2010,127,07,08,12,24,30,49,27
2010,128,05,17,24,25,36,45,15
2010,129,05,09,25,27,33,44,17
2010,130,04,15,41,43,45,49,18
2010,131,05,06,15,28,29,43,48
2010,132,07,18,21,28,47,48,35
2010,133,03,12,20,39,46,49,19
2010,134,06,20,30,33,39,47,23
2010,135,03,06,09,29,30,33,14
