YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1991,1,6,13,17,24,30,39,23
1991,2,2,3,12,17,20,40,27
1991,3,3,6,7,10,11,38,35
1991,4,19,20,23,25,32,35,1
1991,5,5,18,26,34,36,40,3
1991,6,17,30,32,33,37,42,15
1991,7,4,9,11,13,20,23,34
1991,8,3,12,16,33,40,41,38
1991,9,1,12,20,32,42,45,15
1991,10,12,19,24,28,32,44,15
1991,11,2,22,35,38,39,45,4
1991,12,1,8,20,25,27,29,5
1991,13,11,18,21,31,43,44,28
1991,14,3,6,19,30,32,44,42
1991,15,1,4,34,38,41,44,32
1991,16,1,8,11,12,33,35,45
1991,17,2,11,14,27,28,39,20
1991,18,7,21,26,34,37,43,12
1991,19,14,15,22,35,39,43,7
1991,20,2,13,27,29,42,44,15
1991,21,2,4,8,11,17,29,5
1991,22,25,28,29,35,38,42,9
1991,23,7,19,21,28,33,34,27
1991,24,10,12,17,20,23,34,39
1991,25,13,31,36,37,39,44,3
1991,26,4,10,31,34,39,41,12
1991,27,18,29,31,39,41,45,1
1991,28,1,22,27,29,40,41,12
1991,29,3,12,14,34,41,43,29
1991,30,17,24,25,31,38,41,29
1991,31,3,9,17,25,39,45,8
1991,32,2,9,10,13,25,45,28
1991,33,8,21,29,33,36,42,19
1991,34,4,9,12,24,31,40,30
1991,35,7,8,18,29,34,35,30
1991,36,7,10,12,21,24,44,16
1991,37,11,12,15,17,27,39,16
1991,38,5,6,17,20,22,25,30
1991,39,10,14,17,19,35,41,3
1991,40,3,12,17,28,41,45,25
1991,41,2,8,10,12,34,39,25
1991,42,1,7,8,19,21,44,38
1991,43,3,8,12,14,37,43,1
1991,44,1,4,21,22,27,45,19
1991,45,9,14,27,33,44,45,6
1991,46,8,14,22,25,31,37,34
1991,47,2,10,24,25,32,42,6
1991,48,19,20,26,27,33,39,42
1991,49,2,7,11,27,31,43,23
1991,50,9,19,25,28,34,37,20
1991,51,3,6,13,17,19,42,1
1991,52,5,13,18,29,33,41,28
1991,53,5,7,18,25,28,38,20
1991,54,4,11,18,19,32,33,30
1991,55,2,9,21,25,31,37,27
1991,56,8,10,21,26,33,44,31
1991,57,18,27,28,38,41,44,14
1991,58,12,16,20,22,23,45,37
1991,59,1,2,16,29,30,36,4
1991,60,16,17,23,34,36,44,2
1991,61,8,14,21,31,32,42,9
1991,62,1,9,17,21,26,42,16
1991,63,1,13,16,20,25,29,6
1991,64,2,6,17,22,26,37,45
1991,65,8,18,22,23,29,40,5
1991,66,4,7,13,14,29,37,41
1991,67,3,11,14,17,39,43,10
1991,68,3,5,17,20,25,32,10
1991,69,10,23,26,31,36,41,27
1991,70,1,4,23,24,26,27,34
1991,71,9,14,15,23,25,44,7
1991,72,5,24,27,29,40,45,22
1991,73,3,8,20,28,37,42,4
1991,74,4,9,10,16,25,26,18
1991,75,4,5,18,21,25,32,33
1991,76,27,37,38,39,43,45,33
1991,77,11,12,22,28,30,35,36
1991,78,7,21,22,33,39,42,19
1991,79,14,16,20,25,26,42,2
1991,80,12,25,32,35,43,45,1
1991,81,1,15,19,24,36,41,6
1991,82,9,19,26,33,38,42,21
1991,83,6,12,22,29,35,37,44
1991,84,2,6,8,15,33,42,10
1991,85,8,9,16,18,26,43,4
1991,86,5,18,19,33,36,41,3
1991,87,1,3,5,21,24,45,43
1991,88,3,14,20,27,31,41,24
1991,89,12,23,28,30,35,39,36
1991,90,2,7,13,30,34,43,21
1991,91,7,17,26,32,35,43,27
1991,92,17,18,20,31,41,44,1
1991,93,12,20,21,26,29,38,9
1991,94,5,8,29,32,35,40,34
1991,95,4,5,21,22,31,36,18
1991,96,4,16,19,20,32,44,35
1991,97,5,12,38,42,43,44,28
1991,98,9,10,21,27,33,39,23
1991,99,2,3,11,20,41,42,26
1991,100,3,11,17,34,38,41,30
1991,101,1,8,17,25,28,40,42
