YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1984,1,5,6,12,21,28,33,10
1984,2,11,16,23,26,37,39,28
1984,3,8,9,10,14,30,37,21
1984,4,6,16,26,36,37,40,8
1984,5,2,9,27,28,30,34,38
1984,6,2,9,12,16,25,27,14
1984,7,2,5,10,12,17,29,20
1984,8,12,13,18,24,30,35,37
1984,9,8,9,17,27,30,35,12
1984,10,5,8,9,14,16,20,36
1984,11,1,5,20,28,37,40,36
1984,12,4,9,10,14,27,30,15
1984,13,9,19,20,27,28,38,21
1984,14,6,7,9,20,25,26,10
1984,15,8,16,18,23,30,37,31
1984,16,2,7,13,22,31,39,1
1984,17,10,21,23,26,28,35,3
1984,18,1,2,14,17,19,23,24
1984,19,2,5,12,13,27,28,10
1984,20,8,18,23,27,34,40,31
1984,21,1,6,17,34,37,38,19
1984,22,3,5,8,10,14,31,24
1984,23,4,5,8,17,24,27,35
1984,24,1,6,17,19,30,34,21
1984,25,5,8,10,28,30,33,32
1984,26,13,17,25,26,28,31,23
1984,27,7,13,14,20,22,25,35
1984,28,3,13,21,34,36,37,6
1984,29,10,13,27,31,37,38,12
1984,30,3,5,8,15,20,40,7
1984,31,13,15,16,22,30,35,27
1984,32,5,12,20,28,37,38,34
1984,33,3,6,7,15,35,39,12
1984,34,3,24,29,33,36,40,15
1984,35,10,11,20,29,30,34,9
1984,36,9,11,14,15,22,36,35
1984,37,1,7,14,20,24,30,39
1984,38,7,16,20,28,34,36,8
1984,39,5,8,15,19,24,30,20
1984,40,1,3,6,9,21,31,39
1984,41,1,4,12,21,35,40,19
1984,42,9,14,23,27,34,36,3
1984,43,1,2,3,17,35,38,9
1984,44,12,14,23,26,32,38,34
1984,45,9,14,21,23,24,29,15
1984,46,7,9,19,20,24,37,38
1984,47,5,7,9,13,14,26,12
1984,48,1,6,7,15,16,20,36
1984,49,17,19,22,26,28,35,4
1984,50,4,21,26,29,31,37,1
1984,51,2,21,24,26,29,33,28
1984,52,6,14,23,25,29,37,17
1984,53,13,20,23,33,34,35,38
1984,54,1,6,23,26,29,40,35
1984,55,2,3,15,23,28,29,34
1984,56,3,6,15,16,34,37,12
1984,57,1,2,22,31,36,37,33
1984,58,11,20,23,29,31,34,6
1984,59,7,14,17,28,37,40,21
1984,60,1,8,17,20,25,30,38
1984,61,10,17,24,31,33,36,18
1984,62,1,7,18,34,35,38,27
1984,63,13,19,23,33,37,39,30
1984,64,3,7,8,14,37,38,27
1984,65,4,6,10,14,26,40,12
1984,66,7,12,20,26,28,32,15
1984,67,10,17,24,28,31,34,18
1984,68,2,7,9,18,21,22,1
1984,69,2,8,12,20,22,40,3
1984,70,10,11,21,24,33,38,17
1984,71,11,14,28,29,36,40,34
1984,72,8,15,23,25,28,38,29
1984,73,8,17,24,29,37,38,35
1984,74,3,8,14,35,36,37,16
1984,75,13,33,34,35,38,40,27
1984,76,1,2,34,35,37,40,8
1984,77,7,10,30,35,36,38,13
1984,78,3,14,17,26,27,31,1
1984,79,21,34,35,36,39,40,5
1984,80,7,12,26,28,36,37,13
1984,81,6,12,17,29,31,34,7
1984,82,9,16,19,22,27,34,4
1984,83,2,3,5,24,33,36,12
1984,84,7,13,14,15,20,33,36
1984,85,5,6,7,8,15,35,28
1984,86,5,17,20,22,29,34,14
1984,87,6,14,23,29,31,36,37
1984,88,2,7,13,16,17,24,32
1984,89,13,15,27,31,35,38,7
1984,90,5,10,13,34,36,38,8
1984,91,2,7,14,17,29,30,11
1984,92,8,16,23,24,32,33,26
1984,93,5,7,15,21,27,29,38
1984,94,7,10,12,22,23,35,1
1984,95,23,27,29,34,37,38,16
1984,96,7,8,14,22,38,40,19
1984,97,10,20,23,35,36,40,19
1984,98,8,9,12,14,21,36,38
1984,99,6,13,21,27,31,36,35
1984,100,2,3,19,21,24,33,17
1984,101,1,5,20,31,32,33,2
1984,102,5,12,22,23,27,34,7
1984,103,2,6,7,20,21,23,37
