YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2020,1,15,17,29,30,34,37,40
2020,2,01,24,25,27,31,37,08
2020,3,05,17,35,37,42,49,39
2020,4,02,20,24,30,32,46,01
2020,5,18,29,32,33,36,40,38
2020,6,11,14,21,28,37,44,36
2020,7,02,11,13,45,46,49,42
2020,8,03,05,30,31,43,48,13
2020,9,11,24,26,35,42,44,20
2020,10,09,21,26,27,28,48,45
2020,11,21,28,33,34,40,47,49
2020,12,09,26,28,33,38,46,44
2020,13,01,13,19,24,29,45,26
2020,14,06,11,33,38,40,43,02
2020,15,11,17,35,36,38,40,06
2020,16,13,15,25,28,45,49,24
2020,17,06,15,17,18,28,47,32
2020,18,13,19,20,21,33,49,45
2020,19,22,25,30,33,34,43,24
2020,20,07,12,16,22,45,47,25
2020,21,05,12,13,23,27,38,39
2020,22,24,27,29,31,42,47,22
2020,23,11,13,19,38,39,41,47
2020,24,07,32,34,35,48,49,23
2020,25,01,11,23,29,41,46,44
2020,26,02,11,13,20,21,33,14
2020,27,08,11,12,23,34,49,28
2020,28,11,20,36,37,39,48,21
2020,29,14,18,24,27,28,41,45
2020,30,10,11,24,39,41,42,22
