YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1982,1,5,6,8,12,22,30,36
1982,2,1,13,15,21,22,27,29
1982,3,3,11,12,13,19,27,30
1982,4,3,6,7,17,20,35,1
1982,5,8,15,19,21,24,34,28
1982,6,2,13,20,21,24,36,31
1982,7,4,7,11,27,31,32,10
1982,8,5,20,27,29,32,33,15
1982,9,3,4,8,20,26,29,11
1982,10,5,15,17,19,33,36,1
1982,11,1,9,12,17,20,29,31
1982,12,3,4,31,33,35,36,16
1982,13,1,5,8,18,26,27,32
1982,14,7,10,13,14,27,36,19
1982,15,6,8,19,27,32,35,2
1982,16,8,9,30,32,33,34,11
1982,17,15,19,20,23,27,31,34
1982,18,12,13,22,26,31,34,14
1982,19,3,11,14,31,32,36,2
1982,20,9,15,17,23,25,30,19
1982,21,10,16,20,21,23,28,5
1982,22,6,7,16,20,22,26,14
1982,23,5,6,15,22,25,34,23
1982,24,4,10,13,15,19,34,6
1982,25,13,16,26,31,33,35,6
1982,26,3,10,15,17,25,27,8
1982,27,3,9,10,20,23,26,7
1982,28,2,7,16,25,26,30,14
1982,29,2,11,18,26,27,34,3
1982,30,1,11,15,24,28,30,29
1982,31,6,16,22,26,28,34,18
1982,32,3,11,17,22,34,35,27
1982,33,3,4,12,18,27,33,22
1982,34,2,4,11,23,26,31,7
1982,35,17,19,22,23,28,36,25
1982,36,11,12,16,22,23,33,29
1982,37,2,4,13,19,23,33,5
1982,38,6,16,19,20,27,33,22
1982,39,3,18,21,22,31,33,19
1982,40,17,18,21,26,28,36,2
1982,41,9,14,17,20,24,34,30
1982,42,7,8,9,15,16,31,23
1982,43,2,8,27,28,29,33,17
1982,44,1,7,9,23,29,33,32
1982,45,6,13,14,16,22,31,9
1982,46,5,8,9,11,15,35,36
1982,47,1,5,9,12,14,26,32
1982,48,3,10,17,20,24,29,16
1982,49,4,6,8,16,22,28,7
1982,50,2,10,11,22,24,31,21
1982,51,1,22,25,29,31,36,27
1982,52,4,15,18,24,27,30,1
1982,53,2,4,9,10,24,31,20
1982,54,12,13,14,16,21,36,2
1982,55,1,8,19,23,31,34,11
1982,56,6,15,16,18,21,32,20
1982,57,5,9,15,28,30,33,7
1982,58,4,11,23,24,28,30,29
1982,59,16,26,28,29,31,35,23
1982,60,1,13,15,23,28,29,6
1982,61,11,13,17,25,26,30,15
1982,62,2,4,7,14,26,34,10
1982,63,19,25,28,30,33,35,23
1982,64,3,5,8,13,19,26,36
1982,65,2,4,8,24,29,35,33
1982,66,4,6,13,22,23,33,34
1982,67,4,8,16,18,29,33,10
1982,68,4,11,15,26,31,34,17
1982,69,4,5,7,15,23,24,12
1982,70,2,8,12,29,32,33,3
1982,71,4,24,33,34,35,36,5
1982,72,2,11,18,22,25,32,23
1982,73,13,20,22,26,27,33,17
1982,74,10,19,20,24,32,35,18
1982,75,8,10,13,14,21,23,17
1982,76,4,6,17,21,22,36,7
1982,77,5,10,15,16,22,28,21
1982,78,4,8,13,21,24,35,7
1982,79,3,4,5,13,29,33,11
1982,80,9,14,15,24,26,36,17
1982,81,4,5,9,13,24,31,30
1982,82,1,4,12,27,31,32,7
1982,83,3,22,23,28,32,33,27
1982,84,3,10,17,22,26,34,28
1982,85,3,10,13,17,25,27,9
1982,86,8,12,13,15,19,31,14
1982,87,1,5,7,10,17,20,19
1982,88,9,15,20,24,30,36,26
1982,89,4,14,15,17,19,22,1
1982,90,4,9,12,13,24,26,23
1982,91,6,13,14,17,24,25,31
1982,92,4,7,9,10,21,23,36
1982,93,3,8,9,14,29,34,19
1982,94,1,4,5,16,21,27,34
1982,95,9,11,13,17,21,35,15
1982,96,8,22,23,25,28,32,20
1982,97,8,10,15,19,29,33,11
1982,98,4,5,16,17,21,35,30
1982,99,2,5,7,17,20,29,35
1982,100,2,4,16,19,21,24,10
1982,101,24,29,30,31,32,35,11
1982,102,2,10,15,19,22,27,25
1982,103,10,11,19,26,27,34,2
1982,104,9,15,22,23,24,36,28
