YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2015,1,08,15,31,35,42,44,39
2015,2,03,14,16,18,38,49,29
2015,3,08,18,19,28,37,44,13
2015,4,10,21,24,33,40,47,05
2015,5,16,21,27,37,40,43,14
2015,6,01,02,14,37,43,49,24
2015,7,14,15,16,25,27,30,11
2015,8,05,07,09,13,15,29,47
2015,9,08,16,21,30,42,46,32
2015,10,17,18,20,26,31,32,06
2015,11,04,05,10,13,28,35,12
2015,12,06,15,25,29,32,46,09
2015,13,05,07,14,17,46,47,27
2015,14,11,34,36,43,47,49,21
2015,15,13,16,17,18,22,45,10
2015,16,05,07,17,18,27,48,30
2015,17,02,17,23,30,34,41,14
2015,18,07,09,10,14,22,31,35
2015,19,02,10,12,21,25,35,26
2015,20,14,22,28,33,44,46,25
2015,21,15,20,28,29,42,46,35
2015,22,17,18,28,32,33,48,37
2015,23,10,12,20,22,25,33,27
2015,24,06,09,23,25,41,43,38
2015,25,13,17,25,27,46,49,19
2015,26,02,06,10,20,38,40,46
2015,27,06,08,12,16,32,49,37
2015,28,01,18,22,27,45,48,25
2015,29,14,17,23,24,25,37,34
2015,30,04,21,25,29,32,37,27
2015,31,01,05,11,23,34,47,14
2015,32,12,15,17,30,31,43,46
2015,33,07,26,30,33,34,38,05
2015,34,02,05,13,37,42,44,27
2015,35,02,06,09,16,39,49,29
2015,36,06,11,16,29,30,37,34
2015,37,02,05,10,27,36,46,07
2015,38,04,12,20,37,42,47,35
2015,39,09,12,26,29,44,45,19
2015,40,21,24,26,42,43,46,04
2015,41,10,11,31,34,37,38,14
2015,42,06,17,18,19,20,42,25
2015,43,30,31,35,40,42,48,06
2015,44,01,03,05,20,35,39,28
2015,45,12,17,29,31,41,47,38
2015,46,03,13,20,24,43,48,49
2015,47,03,04,07,08,26,36,31
2015,48,12,19,21,24,36,49,23
2015,49,01,08,28,31,36,45,09
2015,50,06,08,30,34,36,42,12
2015,51,07,10,12,16,26,49,40
2015,52,11,13,41,42,43,49,29
2015,53,03,07,14,21,25,29,06
2015,54,02,13,15,38,39,44,08
2015,55,03,07,15,25,26,47,10
2015,56,05,17,22,34,38,48,02
2015,57,21,32,36,37,44,46,47
2015,58,21,27,28,33,37,48,13
2015,59,16,18,19,36,42,47,46
2015,60,05,10,13,43,44,45,07
2015,61,07,10,15,37,42,45,41
2015,62,02,07,20,23,44,47,30
2015,63,09,16,28,36,42,45,02
2015,64,11,12,15,21,38,42,25
2015,65,18,24,28,31,39,49,44
2015,66,09,11,14,22,27,49,44
2015,67,07,12,16,17,20,25,31
2015,68,10,13,35,38,42,44,27
2015,69,10,12,24,25,26,33,23
2015,70,13,16,24,26,40,44,42
2015,71,04,11,12,24,35,46,03
2015,72,12,16,31,34,42,48,37
2015,73,03,10,26,33,42,46,44
2015,74,01,05,26,28,40,49,15
2015,75,08,09,18,33,41,43,15
2015,76,12,14,21,27,38,43,15
2015,77,04,11,23,32,44,48,49
2015,78,09,24,32,34,43,47,35
2015,79,09,19,28,29,38,40,33
2015,80,02,05,17,22,27,28,37
2015,81,07,08,10,13,20,38,05
2015,82,16,18,22,23,35,38,25
2015,83,13,20,23,24,46,47,39
2015,84,04,14,15,19,41,42,10
2015,85,10,33,40,43,45,49,38
2015,86,04,11,15,26,28,30,13
2015,87,12,25,32,33,34,35,45
2015,88,04,05,11,17,24,48,46
2015,89,14,20,28,31,32,47,18
2015,90,05,09,13,15,21,23,12
2015,91,22,23,35,40,41,42,16
2015,92,10,12,19,25,42,46,37
2015,93,22,26,27,28,36,47,12
2015,94,01,04,08,21,22,24,46
2015,95,02,06,13,25,30,33,20
2015,96,07,17,34,41,43,49,01
2015,97,04,05,18,23,32,44,06
2015,98,02,26,31,32,36,37,12
2015,99,03,15,16,39,41,42,36
2015,100,09,13,29,30,39,45,48
2015,101,09,22,28,32,37,39,47
2015,102,05,06,08,10,31,36,17
2015,103,12,16,34,36,42,45,41
2015,104,15,16,20,26,36,40,46
2015,105,01,04,13,22,32,41,26
2015,106,01,11,13,23,35,36,34
2015,107,05,13,21,25,38,40,17
2015,108,03,05,17,22,25,27,46
2015,109,01,04,09,17,35,41,37
2015,110,02,11,12,25,36,43,10
2015,111,04,10,15,16,24,28,49
2015,112,06,15,16,18,37,43,02
2015,113,09,10,23,28,37,46,34
2015,114,08,10,16,30,39,40,06
2015,115,02,07,09,22,32,46,26
2015,116,08,17,28,34,39,40,14
2015,117,04,21,22,35,36,46,40
2015,118,01,04,22,30,33,34,26
2015,119,17,18,26,30,33,34,29
2015,120,02,12,19,33,34,48,24
2015,121,07,11,15,38,39,46,25
2015,122,01,14,16,25,40,48,17
2015,123,18,27,28,34,35,45,02
2015,124,20,22,31,33,39,44,10
2015,125,04,05,06,22,31,46,47
2015,126,04,10,28,37,42,48,08
2015,127,07,12,13,25,34,38,15
2015,128,05,10,11,25,27,44,07
2015,129,06,16,27,34,44,48,01
2015,130,04,14,28,42,43,47,03
2015,131,10,20,24,28,33,45,19
2015,132,13,15,24,28,41,45,20
2015,133,12,13,31,33,35,47,21
2015,134,13,15,25,40,41,48,19
