YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1993,1,1,8,13,24,35,43,33
1993,2,6,8,16,21,24,42,37
1993,3,5,6,19,25,27,45,39
1993,4,2,16,27,29,36,43,35
1993,5,3,7,13,18,19,31,23
1993,6,19,27,35,39,41,43,16
1993,7,10,20,24,31,34,39,29
1993,8,1,6,18,19,29,39,41
1993,9,4,22,25,30,34,39,26
1993,10,4,11,24,31,34,35,40
1993,11,18,26,27,28,40,42,20
1993,12,4,10,29,30,35,41,31
1993,13,1,2,13,18,29,32,26
1993,14,8,10,12,22,26,31,25
1993,15,23,25,32,39,44,45,17
1993,16,14,17,25,32,38,39,20
1993,17,1,4,8,10,27,30,14
1993,18,1,8,15,37,40,42,13
1993,19,4,7,9,11,31,42,14
1993,20,8,11,12,22,26,28,9
1993,21,11,16,20,36,43,45,41
1993,22,3,9,14,26,30,39,16
1993,23,11,15,19,21,23,29,39
1993,24,7,14,22,24,25,36,23
1993,25,2,7,8,10,14,42,3
1993,26,4,16,21,34,36,38,43
1993,27,21,25,29,30,31,35,23
1993,28,4,11,16,27,37,40,19
1993,29,2,7,27,34,35,38,14
1993,30,1,4,16,22,33,38,37
1993,31,5,24,27,32,39,42,8
1993,32,1,6,22,23,32,33,35
1993,33,6,19,28,32,37,42,2
1993,34,17,21,23,24,28,44,9
1993,35,3,9,30,38,40,45,23
1993,36,2,16,24,25,26,27,21
1993,37,6,14,22,23,26,42,18
1993,38,7,13,27,40,41,42,24
1993,39,21,22,23,28,35,41,16
1993,40,1,10,13,35,40,41,39
1993,41,8,18,21,42,44,45,2
1993,42,3,8,15,20,34,40,27
1993,43,1,5,7,12,15,23,19
1993,44,1,5,9,11,44,45,4
1993,45,2,7,19,21,27,45,43
1993,46,5,6,11,29,37,41,25
1993,47,12,16,25,27,32,45,6
1993,48,2,3,8,17,25,30,6
1993,49,12,13,27,32,40,43,28
1993,50,3,5,6,22,24,36,20
1993,51,12,17,20,23,39,42,33
1993,52,7,17,21,31,33,40,20
1993,53,6,11,15,17,37,39,21
1993,54,9,14,18,26,30,45,41
1993,55,1,6,14,34,40,45,36
1993,56,2,5,14,15,27,32,40
1993,57,18,22,23,29,33,44,43
1993,58,12,14,18,20,23,37,16
1993,59,4,7,11,36,39,45,32
1993,60,1,6,21,26,27,33,18
1993,61,2,9,14,16,21,38,34
1993,62,1,16,24,28,34,40,14
1993,63,9,12,15,22,24,26,8
1993,64,8,17,21,35,37,44,11
1993,65,3,6,27,32,37,43,15
1993,66,3,10,18,21,27,41,22
1993,67,9,12,30,32,40,45,10
1993,68,1,14,24,29,42,43,22
1993,69,11,13,14,15,19,23,4
1993,70,3,4,8,12,20,30,40
1993,71,5,6,20,26,33,44,38
1993,72,9,18,26,30,33,39,8
1993,73,7,14,27,31,43,45,4
1993,74,2,5,14,16,24,32,9
1993,75,5,7,13,18,19,34,11
1993,76,2,6,7,16,29,38,3
1993,77,5,7,13,14,18,19,17
1993,78,6,8,10,14,23,30,36
1993,79,9,20,25,27,40,42,10
1993,80,14,31,33,36,39,41,9
1993,81,1,6,11,20,27,34,9
1993,82,10,12,14,18,22,24,36
1993,83,8,19,25,26,43,45,34
1993,84,1,24,32,37,38,42,30
1993,85,2,4,26,30,34,43,20
1993,86,2,3,25,28,38,39,32
1993,87,6,9,20,29,34,39,18
1993,88,4,8,17,27,40,43,5
1993,89,16,17,32,36,41,43,20
1993,90,20,24,34,35,37,42,32
1993,91,16,20,25,30,40,42,45
1993,92,8,12,18,19,37,43,7
1993,93,3,7,8,13,28,41,19
1993,94,3,13,23,29,36,37,7
1993,95,22,24,29,34,35,42,26
1993,96,3,5,12,14,23,28,8
1993,97,3,8,19,27,32,38,26
1993,98,7,17,18,20,24,28,32
1993,99,2,16,17,21,24,32,20
1993,100,3,5,12,27,28,39,9
1993,101,14,16,23,26,32,33,10
