YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1996,1,4,7,24,29,31,32,42
1996,2,6,8,9,10,30,36,40
1996,3,2,6,10,21,27,37,13
1996,4,12,13,31,33,36,39,14
1996,5,1,16,17,28,29,40,31
1996,6,8,16,31,35,36,44,25
1996,7,4,6,13,21,24,26,31
1996,8,5,6,17,20,25,34,44
1996,9,13,19,27,30,33,40,38
1996,10,12,32,34,40,41,43,29
1996,11,8,12,16,19,24,40,23
1996,12,5,6,14,19,23,32,41
1996,13,11,23,24,32,33,38,26
1996,14,2,3,17,20,25,43,1
1996,15,6,22,26,28,33,41,25
1996,16,2,17,26,34,36,42,20
1996,17,8,12,22,32,37,42,14
1996,18,13,19,25,36,41,44,39
1996,19,11,13,17,19,22,26,40
1996,20,4,12,14,21,31,34,7
1996,21,15,25,28,31,36,40,18
1996,22,14,23,32,35,39,44,20
1996,23,8,16,23,28,30,41,17
1996,24,10,13,19,23,36,40,1
1996,25,8,10,21,23,32,33,34
1996,26,2,15,18,24,34,37,42
1996,27,9,23,25,29,31,41,45
1996,28,11,13,22,26,29,34,20
1996,29,25,34,37,43,44,45,24
1996,30,5,15,38,39,40,43,23
1996,31,5,7,11,15,28,35,23
1996,32,1,4,7,25,29,40,26
1996,33,10,12,20,22,42,45,29
1996,34,7,16,18,20,34,35,38
1996,35,1,7,10,14,27,40,45
1996,36,3,4,14,25,33,42,1
1996,37,1,26,31,40,41,43,28
1996,38,5,9,13,23,36,40,3
1996,39,13,14,17,21,29,31,35
1996,40,7,14,19,21,33,38,18
1996,41,3,12,17,28,29,43,8
1996,42,7,16,21,25,35,42,8
1996,43,17,20,24,25,32,43,1
1996,44,4,8,21,24,33,37,19
1996,45,2,7,11,15,16,25,40
1996,46,7,8,9,13,15,17,4
1996,47,5,16,22,27,31,46,47
1996,48,3,14,20,24,26,40,44
1996,49,5,9,16,18,20,35,46
1996,50,1,11,15,24,33,43,14
1996,51,6,7,15,20,26,44,42
1996,52,2,6,20,42,46,47,5
1996,53,2,26,33,40,43,45,46
1996,54,8,24,36,39,44,45,12
1996,55,16,17,22,30,36,41,39
1996,56,9,11,26,37,45,46,13
1996,57,6,7,21,23,24,32,12
1996,58,3,6,13,15,32,44,40
1996,59,10,12,15,25,27,38,11
1996,60,8,14,28,33,41,43,42
1996,61,5,6,19,30,36,44,43
1996,62,5,19,22,33,34,42,12
1996,63,4,6,19,40,43,46,47
1996,64,1,16,22,25,26,47,5
1996,65,1,10,19,27,36,37,21
1996,66,2,3,5,17,32,42,39
1996,67,13,26,28,35,36,38,39
1996,68,7,9,10,31,43,45,30
1996,69,14,21,36,39,46,47,16
1996,70,4,6,18,20,22,44,46
1996,71,7,21,30,31,43,45,12
1996,72,3,12,16,20,22,25,38
1996,73,12,24,27,28,30,33,5
1996,74,2,22,25,30,36,37,14
1996,75,9,23,26,30,31,40,13
1996,76,8,10,14,17,27,45,9
1996,77,5,11,12,36,40,42,31
1996,78,7,17,23,24,30,32,11
1996,79,6,10,28,29,38,43,13
1996,80,10,20,29,32,33,47,31
1996,81,15,16,17,23,24,26,7
1996,82,3,14,17,24,35,45,7
1996,83,3,9,10,17,42,43,16
1996,84,2,18,26,32,33,36,40
1996,85,5,9,12,22,26,36,2
1996,86,20,27,29,30,37,38,34
1996,87,14,19,21,30,44,46,34
1996,88,4,14,26,33,37,38,1
1996,89,3,4,5,8,10,15,18
1996,90,2,5,11,15,32,37,41
1996,91,8,9,10,15,44,46,16
1996,92,3,5,23,29,39,41,13
1996,93,6,7,8,29,42,47,34
1996,94,1,2,26,39,40,46,7
1996,95,4,12,18,27,30,32,31
1996,96,9,11,14,18,23,29,46
1996,97,4,20,23,31,35,45,22
1996,98,1,4,15,16,20,40,30
1996,99,9,12,21,25,30,43,26
1996,100,11,14,22,23,25,36,6
1996,101,2,25,28,30,40,41,31
1996,102,11,19,23,29,37,45,7
1996,103,2,4,9,16,37,47,24
1996,104,9,11,14,20,40,43,45
1996,105,22,25,33,35,46,47,5
1996,106,9,14,15,21,24,40,46
