YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2013,1,17,25,32,33,46,48,39
2013,2,14,19,20,21,29,49,07
2013,3,02,09,24,34,41,45,48
2013,4,03,06,19,21,31,49,07
2013,5,03,04,07,24,27,31,13
2013,6,02,08,14,25,43,44,11
2013,7,03,12,19,21,31,48,26
2013,8,02,04,20,22,30,37,01
2013,9,01,02,03,09,20,49,24
2013,10,02,29,41,42,45,48,05
2013,11,08,20,26,36,44,47,28
2013,12,16,22,27,35,38,46,32
2013,13,02,17,23,39,47,48,22
2013,14,05,19,31,32,34,45,13
2013,15,03,08,12,18,22,33,37
2013,16,04,08,10,35,46,47,32
2013,17,11,16,24,27,36,48,47
2013,18,03,12,30,35,37,38,18
2013,19,05,18,19,32,40,44,34
2013,20,11,14,21,22,32,49,07
2013,21,12,19,23,30,35,36,15
2013,22,01,04,15,16,18,36,21
2013,23,10,11,23,26,28,30,17
2013,24,07,08,26,31,35,39,37
2013,25,04,06,08,35,36,43,05
2013,26,08,09,24,35,39,41,02
2013,27,09,18,24,34,40,43,28
2013,28,13,15,17,30,38,45,04
2013,29,03,04,15,16,17,46,12
2013,30,06,09,31,41,45,47,18
2013,31,03,12,15,28,29,34,08
2013,32,01,04,13,22,39,42,34
2013,33,06,09,17,25,33,42,27
2013,34,10,15,26,35,40,44,11
2013,35,12,17,31,38,44,45,43
2013,36,04,06,19,25,34,43,17
2013,37,02,04,09,31,33,46,05
2013,38,02,07,11,15,17,27,04
2013,39,10,12,16,29,41,48,25
2013,40,02,03,25,28,35,43,39
2013,41,11,18,20,24,29,49,02
2013,42,08,16,29,40,46,47,18
2013,43,11,15,21,27,38,43,48
2013,44,04,05,14,17,22,39,09
2013,45,09,10,15,33,40,49,48
2013,46,07,20,23,29,35,41,06
2013,47,14,15,17,22,38,48,19
2013,48,04,07,16,23,26,28,09
2013,49,04,18,24,30,31,49,36
2013,50,01,05,28,31,44,46,14
2013,51,01,10,29,40,44,49,33
2013,52,05,09,14,24,29,37,36
2013,53,12,14,15,16,22,34,13
2013,54,01,06,11,16,20,25,22
2013,55,02,11,16,19,44,47,27
