YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1998,1,5,10,22,35,37,39,25
1998,2,9,15,31,32,41,47,14
1998,3,4,8,11,32,33,35,3
1998,4,1,25,26,33,43,44,18
1998,5,3,4,11,22,27,43,37
1998,6,13,19,25,34,35,45,24
1998,7,1,13,20,26,31,45,40
1998,8,4,11,22,29,30,45,25
1998,9,9,13,14,16,17,30,39
1998,10,3,11,17,25,28,43,26
1998,11,2,8,9,15,17,37,28
1998,12,1,6,28,30,31,33,22
1998,13,11,15,24,25,26,32,30
1998,14,29,30,32,35,37,44,21
1998,15,12,19,25,27,32,34,1
1998,16,2,19,23,26,27,46,30
1998,17,1,10,12,23,33,42,39
1998,18,1,16,17,20,22,40,34
1998,19,20,22,23,41,43,46,8
1998,20,5,22,24,26,29,47,1
1998,21,19,25,30,36,37,40,14
1998,22,2,14,15,24,34,43,25
1998,23,2,17,19,34,45,47,12
1998,24,1,15,22,28,34,46,14
1998,25,5,11,15,18,36,37,39
1998,26,6,7,12,44,45,46,23
1998,27,15,17,19,21,33,37,2
1998,28,2,6,16,22,24,31,32
1998,29,7,13,25,28,32,46,17
1998,30,3,7,30,35,38,47,39
1998,31,1,22,23,34,42,47,39
1998,32,11,12,20,27,42,45,25
1998,33,5,24,26,29,32,38,19
1998,34,11,22,23,30,42,45,39
1998,35,4,13,17,23,33,41,9
1998,36,11,24,37,38,43,46,18
1998,37,4,12,19,27,34,39,42
1998,38,2,12,15,16,26,30,24
1998,39,2,6,24,33,34,39,26
1998,40,13,17,25,26,37,38,16
1998,41,2,7,12,15,28,31,19
1998,42,1,15,18,32,36,43,31
1998,43,3,5,7,20,37,46,16
1998,44,4,16,19,33,34,47,39
1998,45,1,3,7,8,12,39,34
1998,46,11,18,23,29,35,39,36
1998,47,22,23,24,28,29,39,38
1998,48,5,13,18,23,33,41,37
1998,49,3,5,12,29,36,45,40
1998,50,7,19,27,33,35,43,9
1998,51,4,5,15,36,38,39,46
1998,52,4,12,13,21,28,42,41
1998,53,2,5,9,29,32,43,47
1998,54,11,25,31,35,44,47,30
1998,55,4,29,30,35,43,45,25
1998,56,1,6,22,30,32,45,16
1998,57,9,20,22,28,39,45,19
1998,58,3,8,12,28,35,39,37
1998,59,5,8,12,23,24,44,31
1998,60,2,13,24,25,26,27,23
1998,61,20,22,30,32,35,36,33
1998,62,2,3,22,24,25,41,27
1998,63,1,3,5,14,18,23,25
1998,64,3,17,24,34,35,40,15
1998,65,1,16,28,32,36,38,14
1998,66,16,22,25,26,40,46,44
1998,67,2,15,21,28,36,41,3
1998,68,1,14,27,31,35,42,5
1998,69,16,17,26,30,34,35,13
1998,70,12,15,17,29,46,47,23
1998,71,10,15,18,35,38,39,12
1998,72,18,19,20,23,43,47,40
1998,73,27,28,40,42,43,47,34
1998,74,4,7,14,18,19,34,20
1998,75,14,21,23,39,42,46,37
1998,76,1,12,15,17,21,22,29
1998,77,5,24,33,34,36,44,42
1998,78,2,17,20,22,29,33,25
1998,79,6,8,13,35,45,47,9
1998,80,5,11,14,26,31,40,13
1998,81,8,9,12,23,26,34,47
1998,82,4,5,12,40,44,46,35
1998,83,4,12,39,41,42,43,31
1998,84,3,14,15,21,32,37,29
1998,85,12,17,19,31,37,38,20
1998,86,5,20,22,30,31,33,19
1998,87,11,15,17,19,39,47,28
1998,88,3,8,9,17,27,44,25
1998,89,9,18,21,31,40,47,34
1998,90,11,12,30,37,41,45,2
1998,91,1,8,15,27,38,40,14
1998,92,4,5,6,17,34,37,2
1998,93,1,11,18,19,21,34,12
1998,94,2,13,14,20,28,43,31
1998,95,7,11,25,33,34,42,45
1998,96,18,28,29,31,35,40,34
1998,97,10,22,26,27,32,41,13
1998,98,2,9,24,27,30,32,19
1998,99,29,34,36,42,44,45,26
1998,100,19,23,31,42,45,46,8
1998,101,1,7,23,32,33,38,41
1998,102,1,5,6,7,8,13,32
1998,103,10,17,23,34,40,41,24
1998,104,1,6,8,10,32,41,38
1998,105,1,11,26,33,34,36,16
1998,106,4,6,7,32,44,47,37
1998,107,8,13,31,33,35,41,47
1998,108,4,13,27,30,42,43,5
1998,109,3,7,33,34,35,40,16
1998,110,11,12,15,26,38,47,25
1998,111,4,12,22,24,27,39,18
1998,112,6,25,30,38,39,41,5
1998,113,9,17,25,27,28,44,13
1998,114,4,11,30,31,33,40,9
