YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1986,1,3,21,26,28,29,36,40
1986,2,5,16,19,33,36,40,22
1986,3,3,6,8,28,34,35,1
1986,4,1,16,19,26,28,33,38
1986,5,5,10,11,12,14,26,35
1986,6,4,5,10,20,27,36,29
1986,7,1,5,17,21,25,34,22
1986,8,7,22,25,28,30,36,33
1986,9,8,13,14,26,30,38,10
1986,10,2,26,30,34,37,38,16
1986,11,15,16,21,24,29,31,5
1986,12,5,19,20,26,34,40,21
1986,13,1,2,6,21,31,35,24
1986,14,11,12,19,22,27,30,31
1986,15,10,23,26,27,33,40,11
1986,16,1,7,12,14,36,40,22
1986,17,20,26,29,35,36,37,31
1986,18,6,8,18,20,23,35,22
1986,19,3,10,21,24,37,38,31
1986,20,3,5,19,30,31,35,6
1986,21,6,10,15,17,21,22,39
1986,22,1,2,3,6,13,27,33
1986,23,2,7,14,20,21,38,13
1986,24,4,5,12,18,36,38,10
1986,25,6,12,32,35,36,38,22
1986,26,5,10,11,19,20,32,23
1986,27,9,16,25,31,32,37,19
1986,28,3,4,10,26,30,39,14
1986,29,4,7,14,22,33,36,31
1986,30,1,17,24,26,28,34,15
1986,31,5,11,12,19,21,33,4
1986,32,2,19,22,26,34,35,31
1986,33,17,18,22,23,29,33,39
1986,34,1,4,23,28,36,37,18
1986,35,1,8,10,19,29,34,25
1986,36,7,17,18,19,22,31,1
1986,37,9,11,12,19,28,29,16
1986,38,6,7,22,31,35,39,17
1986,39,4,7,19,23,28,40,26
1986,40,17,18,19,26,32,39,5
1986,41,5,8,11,21,26,35,30
1986,42,1,12,14,19,20,23,32
1986,43,3,8,14,25,29,37,13
1986,44,5,9,19,26,36,39,18
1986,45,11,12,14,18,27,40,7
1986,46,10,13,14,17,33,40,20
1986,47,1,7,9,12,25,35,22
1986,48,3,10,16,22,34,35,18
1986,49,2,8,16,23,31,37,35
1986,50,3,7,8,18,24,36,32
1986,51,6,12,13,28,36,39,30
1986,52,7,16,26,27,32,35,28
1986,53,4,10,19,30,33,35,21
1986,54,3,9,10,26,36,37,30
1986,55,1,12,14,25,27,28,29
1986,56,1,17,20,34,35,37,16
1986,57,10,18,22,26,28,35,1
1986,58,5,12,20,23,26,29,7
1986,59,15,19,21,24,32,37,23
1986,60,1,3,7,15,16,33,30
1986,61,6,15,16,27,34,37,28
1986,62,1,6,8,10,15,35,36
1986,63,2,11,17,26,29,36,40
1986,64,8,18,22,26,29,31,32
1986,65,3,9,13,16,37,38,36
1986,66,11,14,18,22,23,36,9
1986,67,6,22,30,35,39,40,12
1986,68,5,9,10,29,31,40,38
1986,69,5,8,9,25,26,38,6
1986,70,10,12,21,26,30,32,38
1986,71,1,12,16,19,34,35,13
1986,72,3,5,14,29,30,39,37
1986,73,6,9,12,13,21,24,14
1986,74,4,5,10,12,27,30,1
1986,75,8,12,22,23,25,32,17
1986,76,2,10,14,15,26,36,40
1986,77,5,14,16,22,34,39,27
1986,78,2,10,17,18,27,40,3
1986,79,11,16,19,22,33,36,26
1986,80,2,6,13,23,29,35,10
1986,81,7,8,15,16,27,37,9
1986,82,8,9,19,24,29,37,23
1986,83,15,22,25,26,28,33,24
1986,84,4,18,21,28,29,37,7
1986,85,7,11,22,26,32,37,36
1986,86,4,15,19,20,22,38,16
1986,87,3,11,12,27,31,36,29
1986,88,9,11,18,19,32,40,12
1986,89,2,5,12,19,27,38,28
1986,90,15,16,20,27,31,33,24
1986,91,12,15,16,28,29,30,7
1986,92,4,5,14,27,28,34,11
1986,93,1,10,16,20,23,34,19
1986,94,2,4,5,12,18,38,32
1986,95,3,5,11,12,35,40,9
1986,96,9,10,23,25,28,33,18
1986,97,1,3,15,18,19,30,38
1986,98,11,21,22,36,37,40,10
1986,99,5,18,30,33,38,39,28
1986,100,3,15,16,19,21,40,10
