YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1987,1,6,16,22,31,32,33,15
1987,2,1,5,8,11,23,27,13
1987,3,2,5,14,21,25,28,39
1987,4,7,11,17,21,30,37,12
1987,5,2,13,19,30,37,39,24
1987,6,2,18,22,23,27,34,16
1987,7,7,14,18,21,28,36,34
1987,8,2,3,6,12,36,38,9
1987,9,9,13,14,25,31,32,21
1987,10,7,12,15,29,32,33,39
1987,11,1,11,21,26,30,39,23
1987,12,1,5,10,27,28,31,21
1987,13,1,6,12,18,23,38,14
1987,14,6,10,14,18,27,36,11
1987,15,7,18,22,24,35,38,11
1987,16,5,9,22,30,32,37,13
1987,17,8,15,21,23,27,29,16
1987,18,9,12,16,21,38,39,20
1987,19,1,13,23,31,37,39,2
1987,20,2,4,8,13,38,39,22
1987,21,1,3,16,20,23,32,40
1987,22,8,12,20,26,28,37,38
1987,23,8,16,24,29,39,40,34
1987,24,3,11,12,20,25,39,38
1987,25,6,14,19,28,32,35,20
1987,26,5,7,23,25,29,32,10
1987,27,1,4,11,17,27,35,30
1987,28,1,12,16,21,35,39,9
1987,29,5,11,13,15,21,39,33
1987,30,12,20,21,22,36,39,17
1987,31,9,11,13,27,28,36,6
1987,32,4,6,8,9,12,26,10
1987,33,2,3,11,13,25,27,17
1987,34,6,7,12,15,23,27,1
1987,35,1,11,14,18,23,40,29
1987,36,2,4,12,36,38,40,35
1987,37,3,9,11,16,29,33,5
1987,38,1,7,16,26,29,30,5
1987,39,11,18,25,34,37,40,10
1987,40,4,5,9,13,19,29,25
1987,41,12,14,32,33,37,38,30
1987,42,19,25,27,29,35,38,20
1987,43,5,6,11,18,27,30,26
1987,44,7,10,14,17,28,31,1
1987,45,2,4,28,31,36,37,33
1987,46,11,16,22,23,33,39,1
1987,47,8,21,30,31,37,39,19
1987,48,3,8,14,15,18,26,22
1987,49,4,14,17,25,27,33,11
1987,50,1,2,20,24,25,39,5
1987,51,1,4,14,17,21,26,5
1987,52,11,12,22,26,32,37,5
1987,53,4,5,12,32,34,36,40
1987,54,12,16,21,22,29,30,40
1987,55,12,18,21,26,37,40,8
1987,56,1,3,9,10,25,36,2
1987,57,1,6,22,23,32,35,38
1987,58,15,16,30,33,38,40,6
1987,59,16,20,23,27,34,38,39
1987,60,12,13,18,26,32,39,31
1987,61,8,10,12,17,36,40,19
1987,62,8,14,18,24,28,36,6
1987,63,2,11,14,27,30,40,28
1987,64,11,16,25,30,35,38,10
1987,65,1,13,15,23,32,37,21
1987,66,3,16,19,21,27,39,38
1987,67,2,4,8,10,15,30,19
1987,68,6,13,23,25,27,35,40
1987,69,4,8,15,20,22,36,11
1987,70,22,28,31,33,37,38,36
1987,71,1,3,9,12,21,28,39
1987,72,4,15,27,28,35,37,38
1987,73,2,10,23,30,38,40,7
1987,74,7,15,26,30,38,39,35
1987,75,20,25,26,27,32,39,14
1987,76,5,6,14,20,27,28,12
1987,77,4,13,15,21,29,35,27
1987,78,11,13,15,17,25,34,3
1987,79,12,21,23,28,29,40,25
1987,80,2,14,15,24,35,39,1
1987,81,16,19,29,31,32,40,20
1987,82,4,6,10,15,23,32,17
1987,83,8,11,12,19,27,35,26
1987,84,3,9,12,16,39,40,34
1987,85,3,28,29,31,33,35,13
1987,86,1,27,28,30,31,39,24
1987,87,7,10,12,20,30,38,25
1987,88,4,6,7,27,30,31,20
1987,89,9,12,14,29,32,33,15
1987,90,7,10,12,22,35,37,23
1987,91,11,12,22,30,39,40,10
1987,92,4,5,11,15,30,39,29
1987,93,5,8,22,29,35,42,7
1987,94,15,16,27,29,30,34,35
1987,95,11,17,21,23,32,39,26
1987,96,1,5,21,29,33,35,40
1987,97,11,17,25,28,38,40,24
1987,98,9,23,26,30,35,41,38
1987,99,21,23,30,31,35,41,29
1987,100,14,20,23,34,36,38,30
1987,101,10,23,27,34,40,41,22
1987,102,11,14,20,28,35,37,29
1987,103,8,11,12,13,16,21,6
