YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2008,1,05,08,36,39,42,46,14
2008,2,03,11,14,32,33,42,15
2008,3,02,09,14,24,40,45,03
2008,4,04,20,36,42,46,47,22
2008,5,08,13,18,22,26,42,43
2008,6,10,11,15,18,37,45,26
2008,7,08,19,24,35,36,40,23
2008,8,04,07,08,20,32,34,24
2008,9,09,16,17,30,33,49,41
2008,10,10,23,26,38,42,46,29
2008,11,13,15,19,22,33,38,39
2008,12,16,22,24,33,43,44,29
2008,13,24,32,41,42,48,49,10
2008,14,01,34,36,37,42,46,39
2008,15,03,06,36,40,43,48,08
2008,16,02,16,30,31,38,48,36
2008,17,07,24,26,30,32,39,47
2008,18,12,23,31,37,40,45,35
2008,19,04,06,15,29,33,39,18
2008,20,02,05,08,22,29,41,28
2008,21,05,15,29,32,38,39,31
2008,22,18,22,24,27,30,48,03
2008,23,02,09,14,24,33,47,48
2008,24,09,20,23,30,34,39,13
2008,25,06,08,13,17,35,49,45
2008,26,05,07,22,30,32,35,13
2008,27,02,05,13,20,21,49,36
2008,28,07,12,24,25,39,44,27
2008,29,16,25,31,36,38,49,29
2008,30,05,13,15,23,28,40,17
2008,31,12,28,31,33,36,44,07
2008,32,08,10,21,22,30,47,28
2008,33,13,23,28,30,37,44,49
2008,34,04,12,22,26,33,45,08
2008,35,13,18,32,38,48,49,40
2008,36,07,14,15,22,25,35,32
2008,37,03,04,16,32,45,48,23
2008,38,06,09,30,32,39,48,04
2008,39,15,16,27,40,44,49,31
2008,40,01,06,17,28,36,41,31
2008,41,11,13,21,36,39,40,43
2008,42,01,09,22,23,34,38,24
2008,43,08,25,31,38,43,48,23
2008,44,07,10,11,27,31,48,05
2008,45,07,10,16,19,42,46,20
2008,46,08,14,31,36,40,46,09
2008,47,08,12,13,25,31,35,21
2008,48,13,15,17,19,24,32,09
2008,49,20,22,24,25,40,41,35
2008,50,01,03,04,05,37,39,08
2008,51,07,08,13,26,28,49,17
2008,52,16,24,31,35,37,49,39
2008,53,05,06,27,41,47,49,40
2008,54,08,19,26,34,37,40,29
2008,55,07,21,22,38,45,47,40
2008,56,03,18,24,45,46,48,31
2008,57,01,04,06,23,25,47,49
2008,58,01,19,23,29,34,41,15
2008,59,01,05,12,14,19,31,45
2008,60,22,23,24,28,29,43,06
2008,61,01,06,27,39,44,49,36
2008,62,11,26,31,34,36,42,13
2008,63,05,32,33,40,41,49,30
2008,64,06,11,14,23,39,45,10
2008,65,02,07,11,20,29,45,48
2008,66,04,06,09,15,22,37,03
2008,67,03,15,19,40,41,44,13
2008,68,03,05,06,13,31,32,15
2008,69,02,11,18,26,39,45,24
2008,70,01,05,13,29,34,44,25
2008,71,08,09,22,27,29,42,38
2008,72,08,33,39,40,46,48,24
2008,73,01,02,07,19,28,34,05
2008,74,03,21,26,29,31,48,01
2008,75,02,06,07,15,20,38,14
2008,76,15,18,19,21,24,26,36
2008,77,05,12,17,18,41,44,32
2008,78,05,21,25,27,38,40,11
2008,79,09,17,19,24,38,47,03
2008,80,15,18,25,27,38,47,02
2008,81,01,18,24,29,35,46,02
2008,82,10,29,33,40,43,45,08
2008,83,05,15,29,31,38,45,48
2008,84,09,10,12,13,41,48,06
2008,85,07,15,25,34,35,38,06
2008,86,01,08,25,33,34,41,28
2008,87,04,06,08,11,33,35,25
2008,88,06,11,16,38,42,49,40
2008,89,03,17,23,24,30,47,26
2008,90,08,15,19,21,32,42,10
2008,91,10,11,15,26,28,31,43
2008,92,16,20,23,27,41,46,06
2008,93,14,25,32,38,43,46,35
2008,94,07,19,24,26,32,39,20
2008,95,01,03,20,21,35,37,46
2008,96,03,09,10,20,25,34,41
2008,97,02,13,19,25,30,43,44
2008,98,01,21,27,31,34,38,10
2008,99,02,08,10,37,44,49,22
2008,100,09,13,16,22,24,31,18
2008,101,07,17,22,26,31,42,12
2008,102,04,10,18,22,23,38,35
2008,103,03,07,15,23,29,48,05
2008,104,02,08,12,20,25,49,34
2008,105,03,08,09,16,34,46,42
2008,106,04,09,14,25,36,40,45
2008,107,02,17,34,38,46,49,33
2008,108,04,05,10,27,28,49,46
2008,109,01,04,15,16,29,46,30
2008,110,07,17,33,36,39,44,31
2008,111,11,26,27,39,40,47,34
2008,112,13,17,20,29,32,42,15
2008,113,04,14,16,19,22,35,09
2008,114,04,10,26,34,46,49,05
2008,115,01,02,12,19,27,38,41
2008,116,08,11,35,37,38,46,27
2008,117,11,14,19,21,41,44,31
2008,118,06,21,31,40,42,44,07
2008,119,03,06,07,09,32,35,24
2008,120,01,08,09,32,35,37,14
2008,121,05,09,19,21,27,46,37
2008,122,03,13,18,20,22,30,39
2008,123,03,10,11,13,26,48,09
2008,124,05,13,23,33,37,40,39
2008,125,11,17,19,23,32,44,25
2008,126,01,08,20,25,38,43,39
2008,127,05,06,28,35,42,43,04
2008,128,01,04,06,15,24,48,43
2008,129,17,19,20,27,32,35,11
2008,130,09,10,20,33,34,43,42
2008,131,02,05,08,24,32,37,35
2008,132,05,11,18,28,29,32,10
2008,133,04,13,31,36,40,41,49
2008,134,01,03,04,17,24,28,07
2008,135,03,09,18,38,46,48,13
2008,136,04,06,14,21,36,46,41
2008,137,05,06,27,33,36,37,48
2008,138,03,13,29,30,31,43,08
2008,139,08,10,28,35,37,47,12
2008,140,04,09,17,26,28,30,01
2008,141,07,14,21,43,44,47,35
2008,142,01,10,11,41,47,48,20
2008,143,01,07,27,36,40,48,13
2008,144,21,29,32,36,38,44,43
2008,145,02,22,27,31,40,46,13
2008,146,06,13,20,26,34,40,10
2008,147,22,24,26,29,33,48,46
2008,148,02,17,19,21,24,34,18
2008,149,04,08,18,29,40,47,09
