YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2025,1,09,23,42,44,45,46,22
2025,2,08,13,18,23,31,47,16
2025,3,01,19,28,33,35,41,11
2025,4,08,15,26,27,30,35,02
2025,5,03,05,11,12,18,48,06
2025,6,01,03,04,19,38,45,39
2025,7,03,04,06,12,18,32,28
2025,8,16,22,33,43,48,49,08
2025,9,03,06,24,25,34,37,45
2025,10,07,14,19,31,36,45,24
2025,11,14,18,30,36,40,42,01
2025,12,03,13,15,18,19,24,37
2025,13,01,04,18,25,38,45,23
2025,14,01,07,21,27,33,45,17
2025,15,05,15,20,26,30,40,39
2025,16,05,26,29,32,42,45,36
2025,17,01,08,21,25,29,34,04
2025,18,03,07,13,35,37,39,23
2025,19,13,20,22,27,41,44,36
2025,20,14,15,20,27,41,44,33
2025,21,01,02,06,11,40,47,32
2025,22,07,11,15,17,25,28,09
2025,23,04,15,22,25,29,42,01
2025,24,01,09,14,38,42,43,23
2025,25,04,11,19,20,30,39,45
2025,26,19,25,26,29,32,39,04
2025,27,01,04,09,14,21,37,45
2025,28,04,16,19,21,26,29,13
2025,29,29,30,36,41,48,49,14
2025,30,06,08,24,26,29,45,39
2025,31,16,20,21,24,39,43,34
2025,32,12,23,24,27,36,46,43
2025,33,08,11,17,36,43,48,25
2025,34,10,19,35,44,47,49,15
2025,35,03,05,12,13,45,47,46
2025,36,06,14,17,30,35,42,49
2025,37,02,04,07,29,32,40,44
2025,38,07,11,22,26,39,44,08
2025,39,11,17,20,27,36,48,21
2025,40,11,22,23,26,32,35,02
2025,41,19,21,34,36,47,49,14
2025,42,10,20,21,22,23,42,49
2025,43,01,11,24,37,45,49,22
2025,44,03,07,11,20,23,27,29
2025,45,12,16,21,35,44,48,32
2025,46,11,15,18,21,29,40,08
2025,47,20,21,24,30,32,38,47
2025,48,04,07,21,32,41,47,28
2025,49,18,20,30,35,47,49,44
2025,50,12,15,25,26,29,41,42
2025,51,06,11,17,22,27,43,24
2025,52,19,26,28,29,46,49,32
2025,53,13,26,27,41,45,49,46
2025,54,06,12,29,32,34,46,16
2025,55,12,22,27,29,32,34,09
2025,56,10,15,28,31,34,40,48
2025,57,04,11,26,29,34,35,18
2025,58,06,14,15,19,45,47,17
