YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1990,1,7,17,19,29,38,40,4
1990,2,4,6,8,14,29,30,26
1990,3,7,16,17,19,20,28,9
1990,4,17,19,20,31,37,41,21
1990,5,3,19,25,32,36,39,8
1990,6,4,8,11,15,33,37,23
1990,7,4,9,11,17,29,31,36
1990,8,7,10,11,19,21,44,26
1990,9,29,30,31,39,41,45,16
1990,10,1,8,11,15,19,33,21
1990,11,3,4,15,16,17,19,7
1990,12,5,16,20,29,34,45,11
1990,13,3,7,14,17,42,45,44
1990,14,10,14,19,24,35,39,27
1990,15,3,7,19,22,39,41,8
1990,16,1,4,8,13,15,35,2
1990,17,3,11,14,23,24,40,30
1990,18,2,20,22,24,32,37,15
1990,19,15,18,24,26,28,35,2
1990,20,7,8,16,36,41,42,4
1990,21,3,5,12,31,38,43,6
1990,22,2,16,23,24,34,40,43
1990,23,6,10,17,29,32,36,34
1990,24,9,16,21,26,28,39,14
1990,25,28,30,32,35,38,41,2
1990,26,12,20,30,31,35,41,16
1990,27,4,12,28,34,37,38,21
1990,28,8,17,21,23,24,27,45
1990,29,9,17,24,34,35,44,31
1990,30,3,7,8,13,23,36,41
1990,31,10,20,21,28,41,45,5
1990,32,17,21,34,36,38,41,29
1990,33,10,16,23,26,32,35,17
1990,34,8,12,20,26,35,40,14
1990,35,3,16,21,26,28,35,29
1990,36,9,13,18,31,35,42,5
1990,37,9,13,20,41,42,44,12
1990,38,2,8,19,29,33,45,40
1990,39,6,11,14,16,26,33,30
1990,40,1,22,27,29,36,37,12
1990,41,4,8,14,27,31,34,5
1990,42,14,18,22,31,33,39,15
1990,43,10,18,24,36,39,43,4
1990,44,10,19,31,40,41,43,11
1990,45,7,11,14,20,35,44,12
1990,46,6,28,29,30,35,43,26
1990,47,2,3,6,11,22,24,18
1990,48,3,6,12,22,26,39,33
1990,49,1,14,15,31,35,38,25
1990,50,14,26,27,31,32,34,37
1990,51,1,12,17,18,28,30,5
1990,52,5,19,25,33,34,35,20
1990,53,2,8,20,21,31,37,38
1990,54,3,6,24,28,36,40,41
1990,55,3,18,26,30,35,44,4
1990,56,7,14,18,19,30,38,37
1990,57,4,10,11,18,25,39,38
1990,58,6,27,29,34,37,44,33
1990,59,8,13,17,19,20,22,6
1990,60,1,8,15,35,38,41,4
1990,61,1,3,20,30,32,41,24
1990,62,1,4,7,22,34,42,12
1990,63,7,13,15,20,34,45,5
1990,64,5,21,27,29,32,35,34
1990,65,1,2,9,10,12,33,37
1990,66,2,3,8,20,32,38,28
1990,67,9,14,19,25,34,35,39
1990,68,1,12,13,19,25,40,36
1990,69,9,11,15,23,24,39,29
1990,70,4,12,15,16,24,31,11
1990,71,3,18,23,27,31,42,35
1990,72,3,14,25,29,42,44,5
1990,73,21,29,34,36,43,44,5
1990,74,1,2,9,17,31,36,15
1990,75,6,22,28,30,38,39,42
1990,76,11,12,22,33,44,45,10
1990,77,7,9,12,19,32,43,37
1990,78,9,12,31,40,41,43,30
1990,79,6,7,15,37,41,44,38
1990,80,10,32,36,38,40,44,45
1990,81,9,11,15,25,35,44,6
1990,82,4,5,16,23,28,38,27
1990,83,4,20,25,28,29,34,7
1990,84,1,20,29,35,36,39,4
1990,85,2,6,8,35,41,42,32
1990,86,6,11,27,29,33,37,30
1990,87,13,15,19,22,36,40,41
1990,88,4,9,17,20,36,39,23
1990,89,2,9,10,11,28,32,27
1990,90,10,15,20,27,33,39,38
1990,91,11,15,16,39,40,42,28
1990,92,24,25,26,31,34,39,9
1990,93,6,7,9,15,20,28,19
1990,94,7,17,20,28,35,42,30
1990,95,8,11,14,19,22,34,20
1990,96,1,4,13,25,31,42,32
1990,97,6,13,28,30,39,43,34
1990,98,22,26,27,29,40,43,34
1990,99,1,4,12,15,22,31,13
1990,100,4,24,26,33,38,42,6
