YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1997,1,16,26,28,30,33,38,47
1997,2,2,5,13,38,39,42,8
1997,3,9,14,20,24,29,44,33
1997,4,12,17,26,27,33,45,44
1997,5,2,12,16,37,38,42,22
1997,6,2,28,39,44,45,46,3
1997,7,12,14,20,29,36,41,10
1997,8,5,12,14,27,33,37,11
1997,9,4,8,12,13,34,47,14
1997,10,29,34,37,39,40,43,32
1997,11,8,10,14,27,28,29,17
1997,12,2,11,25,26,30,34,37
1997,13,1,5,14,27,29,39,44
1997,14,9,14,16,24,29,35,17
1997,15,4,8,9,36,39,41,7
1997,16,20,24,28,29,32,34,4
1997,17,7,19,21,24,32,39,46
1997,18,1,9,16,18,36,40,6
1997,19,7,21,23,26,32,34,3
1997,20,3,8,9,21,34,36,12
1997,21,6,9,15,21,28,43,17
1997,22,1,22,23,39,45,46,26
1997,23,15,24,26,28,32,44,11
1997,24,2,29,35,40,41,46,45
1997,25,4,9,16,25,36,46,12
1997,26,3,5,10,18,22,43,12
1997,27,6,13,18,21,25,39,5
1997,28,1,3,9,10,36,42,47
1997,29,2,4,13,18,22,45,25
1997,30,1,2,3,8,40,46,18
1997,31,5,10,16,22,30,37,14
1997,32,10,16,21,22,31,47,12
1997,33,4,15,17,19,29,39,33
1997,34,12,19,31,35,41,43,4
1997,35,1,27,32,35,37,41,5
1997,36,3,7,10,15,37,38,42
1997,37,7,10,11,14,16,21,17
1997,38,14,15,16,28,30,44,33
1997,39,1,11,14,27,30,32,38
1997,40,5,9,23,27,28,42,22
1997,41,2,4,8,19,36,37,44
1997,42,6,15,22,29,36,40,35
1997,43,6,24,25,35,39,47,43
1997,44,14,25,31,35,42,46,45
1997,45,31,34,37,42,44,45,35
1997,46,7,8,17,26,39,45,22
1997,47,12,20,27,31,38,40,47
1997,48,3,16,18,22,38,45,5
1997,49,10,11,19,28,37,38,34
1997,50,17,30,32,38,39,42,4
1997,51,1,4,7,9,17,18,40
1997,52,3,14,18,26,28,41,23
1997,53,5,10,16,19,20,30,34
1997,54,6,23,26,34,35,42,27
1997,55,1,12,17,19,22,34,15
1997,56,1,3,10,14,33,45,30
1997,57,3,13,19,35,37,46,39
1997,58,6,10,17,25,28,34,9
1997,59,14,15,17,37,40,45,39
1997,60,2,15,16,22,28,36,14
1997,61,12,16,27,33,34,37,43
1997,62,16,21,24,32,37,45,29
1997,63,2,9,22,26,30,36,38
1997,64,3,8,28,32,42,43,41
1997,65,2,4,5,27,29,40,9
1997,66,19,31,35,37,38,42,18
1997,67,12,18,24,30,34,35,20
1997,68,3,17,22,29,34,38,14
1997,69,3,15,16,19,32,33,26
1997,70,8,10,18,26,42,45,14
1997,71,6,9,28,30,42,47,35
1997,72,2,6,14,26,33,42,40
1997,73,2,7,18,29,42,45,10
1997,74,1,27,37,43,44,47,22
1997,75,6,9,14,15,31,47,42
1997,76,5,8,19,28,32,33,44
1997,77,9,10,14,30,32,41,37
1997,78,1,15,27,34,42,46,33
1997,79,6,24,28,31,38,45,13
1997,80,8,22,24,26,37,43,6
1997,81,8,12,24,26,29,42,6
1997,82,5,8,14,25,31,32,18
1997,83,6,11,18,24,27,29,7
1997,84,7,13,21,27,35,41,38
1997,85,14,16,24,25,35,38,29
1997,86,14,23,25,29,35,41,8
1997,87,2,4,14,32,34,41,5
1997,88,7,15,23,26,29,34,18
1997,89,3,5,24,37,38,45,6
1997,90,14,16,24,25,27,33,47
1997,91,7,17,29,35,36,47,44
1997,92,9,18,20,24,37,39,35
1997,93,3,12,24,33,40,46,1
1997,94,7,14,30,35,41,42,20
1997,95,1,2,5,19,26,40,24
1997,96,8,11,13,40,42,44,36
1997,97,19,22,27,28,29,46,21
1997,98,9,13,17,18,22,41,26
1997,99,21,25,36,42,43,45,47
1997,100,3,17,21,23,34,37,1
1997,101,4,7,14,20,30,47,9
1997,102,5,8,12,16,40,47,22
1997,103,9,13,22,34,36,43,35
1997,104,14,19,24,30,36,45,23
