YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2022,1,02,08,12,14,20,47,36
2022,2,01,03,10,11,30,42,39
2022,3,10,18,20,29,32,33,02
2022,4,15,18,21,25,39,43,33
2022,5,06,13,17,28,35,44,05
2022,6,06,07,22,34,35,46,08
2022,7,02,09,11,12,16,24,43
2022,8,12,19,21,22,40,43,46
2022,9,01,05,23,42,46,49,11
2022,10,11,20,23,29,38,47,12
2022,11,03,10,12,28,39,48,17
2022,12,12,18,22,30,40,49,15
2022,13,06,28,32,33,40,45,01
2022,14,15,20,26,28,29,46,12
2022,15,08,18,21,35,37,38,10
2022,16,04,08,21,40,46,49,34
2022,17,09,11,12,22,29,42,03
2022,18,10,20,36,38,43,48,30
2022,19,08,11,12,20,26,30,28
2022,20,21,25,30,36,37,47,42
2022,21,12,23,28,34,39,46,44
2022,22,08,11,15,19,34,37,25
2022,23,09,23,30,32,34,40,25
2022,24,01,07,16,28,31,48,18
2022,25,03,08,11,15,18,40,41
2022,26,02,15,41,42,44,46,40
2022,27,12,14,19,39,41,48,33
2022,28,01,05,10,22,30,34,42
2022,29,04,07,29,35,40,46,17
2022,30,27,30,36,38,45,46,34
2022,31,05,07,08,17,47,49,34
2022,32,01,17,25,29,42,46,08
2022,33,02,13,35,39,43,48,09
2022,34,01,27,32,35,38,44,24
2022,35,09,16,21,35,47,48,36
2022,36,11,17,24,26,37,41,34
2022,37,07,16,21,30,34,38,41
2022,38,09,17,24,27,33,39,48
2022,39,02,15,20,30,47,48,44
2022,40,01,13,19,26,29,37,15
2022,41,19,21,23,26,37,39,13
2022,42,09,30,31,32,37,40,25
2022,43,07,10,28,30,32,36,27
2022,44,04,13,22,27,43,47,23
2022,45,19,20,25,29,46,47,35
2022,46,05,12,21,30,34,38,03
2022,47,06,14,23,31,38,48,01
2022,48,08,13,16,21,23,49,44
2022,49,21,25,34,37,41,46,14
2022,50,04,08,09,11,42,46,47
2022,51,13,24,30,35,36,39,29
2022,52,01,12,25,28,36,46,13
2022,53,07,12,22,26,43,49,05
2022,54,06,22,25,33,38,47,10
2022,55,07,20,31,35,41,47,42
2022,56,02,08,19,21,24,47,04
2022,57,08,17,19,28,31,35,46
2022,58,04,08,09,10,30,42,22
2022,59,16,19,32,33,42,46,34
2022,60,12,22,34,35,39,45,07
2022,61,07,08,09,17,24,25,20
2022,62,23,24,30,31,45,46,26
2022,63,02,08,12,19,35,45,33
2022,64,14,22,35,37,42,46,24
2022,65,08,14,15,20,41,44,03
2022,66,02,04,20,38,40,46,11
2022,67,21,23,29,30,33,49,40
2022,68,05,17,22,24,34,38,13
2022,69,04,07,14,18,27,31,48
2022,70,08,11,31,32,33,36,46
2022,71,04,06,10,27,29,46,17
2022,72,02,18,29,30,32,47,46
2022,73,06,08,18,36,37,44,30
2022,74,01,07,11,24,27,38,17
2022,75,07,08,12,13,26,43,03
2022,76,04,11,21,28,31,47,05
2022,77,07,11,28,31,43,48,42
2022,78,01,05,10,25,36,47,23
2022,79,01,10,14,38,47,48,40
2022,80,18,21,25,28,38,44,45
2022,81,07,25,26,39,44,45,46
2022,82,20,24,27,31,32,49,36
2022,83,12,15,16,42,44,45,04
2022,84,27,28,30,34,35,48,11
2022,85,04,05,12,15,28,29,20
2022,86,02,12,14,32,41,46,20
2022,87,10,13,19,21,27,49,35
2022,88,07,11,22,23,28,32,29
2022,89,10,20,27,32,38,46,04
2022,90,11,12,14,18,29,30,31
2022,91,05,12,18,19,26,33,46
2022,92,17,18,32,38,44,49,19
2022,93,01,09,27,32,33,35,45
2022,94,06,11,27,39,46,47,15
2022,95,06,10,11,13,32,46,39
2022,96,03,12,14,19,25,28,11
2022,97,14,25,28,29,43,44,10
2022,98,12,18,22,28,31,40,07
2022,99,14,18,27,32,39,42,43
2022,100,02,15,31,34,38,41,21
2022,101,06,11,17,30,44,46,05
2022,102,17,19,35,39,46,44,21
2022,103,06,12,20,25,39,49,07
2022,104,12,38,39,40,45,49,10
2022,105,05,07,18,26,31,45,30
2022,106,06,14,15,26,35,40,08
2022,107,28,36,37,38,41,45,42
2022,108,16,18,19,33,41,46,37
2022,109,02,07,11,14,18,39,29
2022,110,05,13,18,32,39,45,44
2022,111,01,02,21,33,41,45,04
