YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1992,1,1,7,25,31,41,45,5
1992,2,1,3,11,21,34,39,10
1992,3,5,10,13,20,24,27,18
1992,4,1,11,24,25,26,32,14
1992,5,6,12,21,23,38,39,20
1992,6,1,7,27,29,40,44,20
1992,7,2,7,16,17,38,39,5
1992,8,7,15,28,35,42,44,14
1992,9,2,5,16,20,37,38,39
1992,10,1,7,30,34,35,38,31
1992,11,3,20,23,27,30,37,22
1992,12,4,17,18,28,30,43,6
1992,13,1,3,15,16,27,38,25
1992,14,10,12,17,18,19,40,37
1992,15,8,9,15,24,26,35,33
1992,16,2,5,26,27,36,43,29
1992,17,13,14,26,29,33,35,19
1992,18,15,21,29,30,31,39,3
1992,19,8,11,22,26,30,34,16
1992,20,4,10,20,26,28,38,13
1992,21,16,18,20,25,36,44,7
1992,22,15,17,18,23,25,30,43
1992,23,1,3,4,5,34,36,7
1992,24,30,32,35,38,43,44,25
1992,25,17,21,33,35,42,43,28
1992,26,8,16,19,22,35,37,13
1992,27,2,16,24,25,29,44,12
1992,28,6,9,15,16,37,38,20
1992,29,29,31,32,34,37,39,38
1992,30,9,26,31,35,43,44,21
1992,31,1,4,8,14,19,43,23
1992,32,3,10,24,25,34,41,30
1992,33,8,17,18,33,40,43,10
1992,34,2,24,26,38,43,45,16
1992,35,4,12,20,22,27,28,32
1992,36,3,15,20,41,44,45,27
1992,37,3,4,6,8,19,44,38
1992,38,9,18,26,27,36,40,34
1992,39,10,12,25,37,40,41,5
1992,40,4,5,6,13,39,40,9
1992,41,2,8,26,38,40,44,22
1992,42,11,14,30,33,35,40,4
1992,43,7,10,11,28,31,39,34
1992,44,25,27,33,34,39,42,35
1992,45,4,5,12,21,29,34,33
1992,46,4,19,28,30,36,40,44
1992,47,8,10,12,14,20,32,36
1992,48,2,6,10,14,34,39,20
1992,49,19,27,31,32,36,39,4
1992,50,4,6,13,25,27,33,38
1992,51,1,7,11,15,33,41,20
1992,52,8,11,12,17,19,40,6
1992,53,3,16,20,34,36,37,29
1992,54,8,15,27,32,38,44,33
1992,55,14,19,27,33,36,43,7
1992,56,2,3,9,10,13,14,35
1992,57,12,14,15,26,27,42,37
1992,58,3,9,15,28,34,37,33
1992,59,2,25,26,28,29,35,8
1992,60,5,9,10,15,24,38,12
1992,61,1,5,13,17,28,33,6
1992,62,3,4,5,22,23,35,17
1992,63,8,21,26,30,31,39,35
1992,64,12,19,21,23,28,33,16
1992,65,14,15,24,26,35,36,44
1992,66,1,27,30,32,37,41,19
1992,67,10,17,19,29,36,40,37
1992,68,4,8,32,34,41,43,14
1992,69,4,13,15,21,27,28,6
1992,70,2,15,23,38,39,45,32
1992,71,17,24,31,34,38,42,6
1992,72,28,30,37,41,43,45,7
1992,73,1,6,8,12,15,44,36
1992,74,4,6,12,25,33,36,20
1992,75,14,16,23,24,27,34,17
1992,76,3,18,25,36,39,43,9
1992,77,4,7,12,30,34,35,31
1992,78,9,11,16,19,24,38,5
1992,79,1,7,19,32,44,45,40
1992,80,7,28,30,33,37,44,20
1992,81,2,10,11,12,22,41,27
1992,82,2,10,23,27,35,39,28
1992,83,4,17,20,35,38,40,21
1992,84,10,18,22,30,31,38,37
1992,85,2,4,10,23,24,28,16
1992,86,1,3,4,6,22,27,38
1992,87,12,14,18,27,28,42,7
1992,88,5,8,25,39,42,45,31
1992,89,10,17,23,38,40,42,25
1992,90,3,4,7,10,15,27,44
1992,91,5,14,17,20,21,28,12
1992,92,15,16,19,24,30,39,13
1992,93,4,8,23,26,37,43,42
1992,94,7,13,14,28,32,39,36
1992,95,5,9,21,29,37,43,14
1992,96,1,17,18,34,39,41,23
1992,97,14,20,23,31,36,37,42
1992,98,3,14,18,20,28,31,1
1992,99,4,8,17,21,31,40,5
1992,100,3,12,21,40,41,43,10
1992,101,3,5,9,28,36,40,21
1992,102,6,10,12,13,16,24,4
