YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1983,1,2,14,23,26,27,34,31
1983,2,9,10,11,13,20,29,34
1983,3,1,2,8,27,34,36,6
1983,4,1,12,17,22,23,34,21
1983,5,1,5,12,15,26,35,6
1983,6,5,16,17,29,30,33,14
1983,7,11,19,20,29,33,35,34
1983,8,3,4,16,19,24,25,28
1983,9,1,8,15,27,30,34,16
1983,10,3,8,9,19,29,30,16
1983,11,1,7,13,23,32,33,15
1983,12,10,14,24,28,30,34,3
1983,13,8,9,17,18,34,36,7
1983,14,10,19,30,33,34,35,23
1983,15,2,3,9,10,23,25,31
1983,16,3,4,19,22,27,29,7
1983,17,4,9,11,30,34,36,24
1983,18,11,15,16,20,23,36,32
1983,19,7,8,17,20,22,27,18
1983,20,1,5,6,7,17,34,20
1983,21,6,7,30,32,34,36,10
1983,22,4,8,15,18,30,31,5
1983,23,4,5,6,12,13,29,17
1983,24,2,11,20,23,27,36,14
1983,25,11,12,14,16,17,18,36
1983,26,2,15,16,22,25,32,6
1983,27,4,5,7,8,22,36,16
1983,28,8,14,15,22,23,25,6
1983,29,1,5,10,20,31,36,2
1983,30,5,11,16,22,23,32,25
1983,31,24,31,32,33,34,36,15
1983,32,1,3,5,19,33,34,32
1983,33,4,9,21,25,31,36,2
1983,34,2,4,19,20,23,27,17
1983,35,8,21,24,27,29,32,2
1983,36,14,20,26,30,33,34,18
1983,37,2,26,30,32,33,35,5
1983,38,5,6,8,20,21,34,28
1983,39,19,22,24,30,31,35,11
1983,40,1,3,8,28,32,33,17
1983,41,17,18,20,22,33,34,35
1983,42,15,20,23,25,31,33,28
1983,43,1,5,7,13,18,29,12
1983,44,6,10,16,18,24,26,12
1983,45,5,6,10,27,31,33,21
1983,46,4,5,22,24,27,30,13
1983,47,4,5,14,23,34,36,22
1983,48,4,10,16,26,30,32,13
1983,49,11,12,19,20,31,35,26
1983,50,3,13,20,21,30,32,1
1983,51,1,11,14,19,22,36,26
1983,52,4,7,22,23,30,32,33
1983,53,4,7,9,11,15,21,27
1983,54,4,11,16,17,21,29,12
1983,55,1,7,15,21,27,34,8
1983,56,8,9,16,29,30,36,22
1983,57,1,3,5,10,19,21,2
1983,58,1,6,13,17,23,30,3
1983,59,4,7,9,10,15,26,3
1983,60,10,12,14,29,34,36,7
1983,61,6,15,17,27,31,36,35
1983,62,10,23,30,31,34,35,22
1983,63,2,3,11,19,23,28,9
1983,64,1,9,12,21,24,30,35
1983,65,1,3,6,17,31,37,7
1983,66,10,11,17,26,29,35,20
1983,67,1,8,10,18,21,26,23
1983,68,11,12,18,19,30,33,22
1983,69,21,23,33,34,36,37,32
1983,70,3,10,11,16,18,25,26
1983,71,4,8,20,28,35,39,11
1983,72,3,6,12,27,37,38,30
1983,73,3,14,19,21,32,33,22
1983,74,2,12,28,33,37,40,17
1983,75,9,10,13,15,16,36,34
1983,76,2,9,20,21,26,33,22
1983,77,1,9,10,14,15,16,22
1983,78,13,14,20,22,26,35,7
1983,79,14,17,22,23,34,37,20
1983,80,1,5,15,25,31,32,9
1983,81,11,12,14,16,23,27,37
1983,82,3,15,17,22,24,31,33
1983,83,9,10,14,24,29,33,30
1983,84,11,12,23,24,28,30,38
1983,85,1,3,10,28,38,40,32
1983,86,9,13,15,17,19,25,33
1983,87,5,6,7,19,29,36,18
1983,88,21,26,28,31,36,38,37
1983,89,4,7,19,22,23,27,10
1983,90,1,16,24,28,30,31,17
1983,91,5,8,13,33,35,38,21
1983,92,2,6,31,33,35,36,17
1983,93,9,19,23,26,27,34,3
1983,94,3,4,27,28,35,38,31
1983,95,3,4,5,20,24,36,38
1983,96,13,24,27,33,36,38,15
1983,97,2,6,14,30,34,36,8
1983,98,6,8,9,17,34,38,3
1983,99,10,22,23,25,35,40,1
1983,100,3,17,23,30,33,36,31
1983,101,9,10,21,23,26,29,20
1983,102,4,6,20,29,37,40,36
1983,103,2,12,13,24,26,36,30
