YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2016,1,06,08,11,32,34,41,47
2016,2,02,05,07,18,30,45,11
2016,3,06,09,11,29,43,47,08
2016,4,04,08,15,18,30,45,38
2016,5,08,13,15,35,44,45,47
2016,6,01,02,10,23,32,49,26
2016,7,01,02,06,37,40,43,24
2016,8,08,18,20,25,30,39,13
2016,9,02,12,33,40,45,47,09
2016,10,07,08,12,14,23,32,05
2016,11,05,09,22,26,27,40,13
2016,12,08,20,30,34,42,48,36
2016,13,01,05,29,32,39,44,04
2016,14,18,28,30,33,34,36,02
2016,15,07,13,15,35,38,45,32
2016,16,11,13,15,19,21,29,41
2016,17,03,04,17,30,35,47,10
2016,18,08,14,24,29,36,43,31
2016,19,18,21,22,34,42,43,24
2016,20,13,20,38,39,41,45,46
2016,21,12,20,39,44,47,49,45
2016,22,09,15,24,27,44,45,47
2016,23,03,06,22,24,45,47,07
2016,24,06,09,11,20,27,44,42
2016,25,11,16,19,21,30,33,31
2016,26,01,02,05,07,16,45,33
2016,27,17,26,29,32,48,49,40
2016,28,03,04,16,30,34,39,14
2016,29,09,14,24,30,33,48,43
2016,30,03,23,33,36,41,49,02
2016,31,01,06,19,26,28,41,39
2016,32,03,08,15,16,17,38,35
2016,33,23,25,35,39,42,43,14
2016,34,05,10,18,24,27,49,39
2016,35,16,18,21,25,35,46,13
2016,36,17,24,38,44,46,47,27
2016,37,09,12,13,22,30,31,28
2016,38,04,06,29,34,36,45,47
2016,39,04,10,21,30,35,43,07
2016,40,08,21,25,32,34,45,31
2016,41,03,06,13,38,43,44,31
2016,42,21,25,28,33,46,48,10
2016,43,14,21,25,27,44,46,03
2016,44,16,24,28,35,45,46,38
2016,45,05,08,30,34,45,48,03
2016,46,03,05,14,15,39,41,21
2016,47,02,10,16,35,46,47,49
2016,48,01,03,25,27,28,45,12
2016,49,11,20,28,29,44,49,40
2016,50,06,07,12,15,27,36,29
2016,51,20,26,28,32,40,45,43
2016,52,04,12,19,20,27,49,21
2016,53,02,11,25,28,36,46,42
