YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2017,1,04,11,22,29,37,46,18
2017,2,05,14,20,21,36,49,39
2017,3,07,10,14,29,45,46,19
2017,4,02,07,14,26,38,39,12
2017,5,18,25,27,30,40,43,06
2017,6,01,06,22,37,44,48,35
2017,7,26,27,28,36,42,47,33
2017,8,01,02,13,23,35,43,18
2017,9,08,27,28,37,38,49,33
2017,10,02,05,23,27,36,43,20
2017,11,13,24,28,29,31,44,10
2017,12,08,15,25,30,34,40,42
2017,13,13,14,18,23,29,35,45
2017,14,07,14,25,28,33,40,26
2017,15,06,11,22,25,32,33,24
2017,16,03,12,13,19,24,45,40
2017,17,07,21,26,30,38,47,15
2017,18,14,16,21,28,43,46,26
2017,19,05,08,23,34,41,44,07
2017,20,05,08,12,17,20,37,45
2017,21,01,07,13,29,32,44,20
2017,22,13,15,16,32,34,46,10
2017,23,04,12,19,20,25,26,08
2017,24,15,20,24,34,42,44,07
2017,25,06,13,31,42,43,45,34
2017,26,10,18,22,23,29,32,45
2017,27,02,14,18,19,40,43,42
2017,28,17,19,25,35,41,44,26
2017,29,01,04,20,27,32,39,15
2017,30,02,32,33,35,36,44,48
2017,31,01,02,11,19,40,48,04
2017,32,02,13,17,23,30,46,08
2017,33,08,12,20,25,37,46,02
2017,34,05,14,17,33,41,47,16
2017,35,09,10,23,30,38,48,16
2017,36,02,09,21,35,36,40,44
2017,37,18,19,21,30,38,48,07
2017,38,07,17,20,34,36,44,23
2017,39,03,09,19,33,40,41,26
2017,40,04,21,24,39,45,46,40
2017,41,02,11,14,20,27,30,19
2017,42,14,17,22,29,30,31,38
2017,43,04,10,25,26,38,49,34
2017,44,01,04,05,29,33,44,39
2017,45,04,10,11,18,29,38,28
2017,46,01,09,11,23,29,34,06
2017,47,01,21,22,45,46,49,14
2017,48,16,17,21,42,48,49,37
2017,49,05,08,14,22,31,48,33
2017,50,01,20,22,27,31,41,02
2017,51,04,17,21,32,36,46,27
2017,52,01,03,09,13,34,35,27
2017,53,06,22,23,31,36,45,12
2017,54,09,16,22,38,40,46,11
2017,55,01,07,12,18,27,33,20
2017,56,01,05,07,09,10,15,03
2017,57,07,11,20,28,41,49,32
2017,58,02,03,17,34,38,48,14
2017,59,07,13,17,23,29,46,49
2017,60,23,26,27,39,40,48,07
2017,61,05,07,18,22,33,43,27
2017,62,14,18,27,32,37,38,01
2017,63,04,18,23,28,36,45,33
2017,64,11,15,24,25,33,40,42
2017,65,08,24,26,30,47,49,35
2017,66,08,11,15,23,24,29,06
2017,67,01,13,18,23,30,44,42
2017,68,21,23,27,34,46,49,44
2017,69,01,02,05,12,18,19,44
2017,70,09,34,39,42,46,49,32
