YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2011,1,01,13,20,24,37,39,03
2011,2,04,09,16,20,38,39,40
2011,3,04,07,14,15,19,26,43
2011,4,10,12,18,21,27,33,04
2011,5,01,02,29,37,42,48,38
2011,6,17,19,25,36,40,44,10
2011,7,13,18,29,31,32,46,02
2011,8,09,15,21,31,33,41,37
2011,9,05,21,28,30,37,42,48
2011,10,01,15,30,39,45,49,37
2011,11,09,14,16,17,21,26,20
2011,12,01,06,14,25,29,35,48
2011,13,05,08,09,10,29,49,46
2011,14,01,08,22,32,46,48,09
2011,15,06,08,10,28,36,37,21
2011,16,01,02,16,27,31,47,19
2011,17,11,21,27,28,32,34,17
2011,18,02,03,09,18,20,36,12
2011,19,10,13,20,24,37,47,16
2011,20,16,17,18,27,38,41,30
2011,21,09,24,25,30,35,37,45
2011,22,13,16,18,23,34,42,40
2011,23,03,08,21,22,28,48,05
2011,24,07,26,27,29,30,41,44
2011,25,01,24,28,33,37,47,49
2011,26,04,25,30,41,43,45,29
2011,27,08,09,13,17,33,49,30
2011,28,02,07,16,25,29,34,10
2011,29,04,15,23,33,37,47,22
2011,30,02,06,21,45,46,49,28
2011,31,06,14,26,27,30,43,21
2011,32,04,11,15,16,35,42,09
2011,33,04,05,23,31,39,48,20
2011,34,08,12,24,31,33,41,20
2011,35,18,24,26,34,38,45,15
2011,36,10,16,17,38,42,43,13
2011,37,02,12,20,25,31,47,29
2011,38,01,02,09,20,24,49,43
2011,39,06,23,24,38,39,40,32
2011,40,03,12,15,31,36,49,11
2011,41,08,10,26,29,41,44,09
2011,42,01,05,21,26,31,43,22
2011,43,06,10,24,34,37,47,12
2011,44,02,04,09,12,21,31,10
2011,45,12,14,23,32,37,39,28
2011,46,01,16,17,26,31,36,45
2011,47,01,08,18,20,22,46,28
2011,48,01,06,09,10,22,26,35
2011,49,02,04,26,30,31,43,38
2011,50,11,15,25,29,30,49,47
2011,51,01,06,15,30,33,49,03
2011,52,09,10,23,29,30,34,36
2011,53,02,03,13,23,34,38,05
2011,54,05,06,15,20,32,48,22
2011,55,10,14,26,29,39,41,06
2011,56,04,09,25,28,39,45,30
2011,57,04,10,15,22,33,35,48
2011,58,12,14,27,35,46,49,31
2011,59,13,15,18,30,32,48,08
2011,60,15,17,22,36,45,47,35
2011,61,11,20,31,33,39,48,04
2011,62,05,06,22,37,44,48,23
2011,63,07,13,34,38,43,44,10
2011,64,01,04,10,24,30,39,08
2011,65,02,07,18,23,39,47,17
2011,66,07,08,33,36,46,49,18
2011,67,22,24,33,36,42,49,38
2011,68,03,05,06,15,39,42,35
